STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595138337 GHz,
TABLE,Group 1 Raw,CPI,5
Event,Counter,HWThread 55
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,4624001786
CPU_CLOCKS_UNHALTED,PMC1,2074977115
RETIRED_UOPS,PMC2,4642260891
TABLE,Group 1 Metric,CPI,6
Metric,HWThread 55,
Runtime (RDTSC) [s],11.6550,
Runtime unhalted [s],0.7996,
Clock [MHz],-,
CPI,0.4487,
CPI (based on uops),0.4470,
IPC,2.2285,
