STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595128142 GHz,
TABLE,Group 1 Raw,CPI,5
Event,Counter,HWThread 33
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2004508382013
CPU_CLOCKS_UNHALTED,PMC1,1347866910985
RETIRED_UOPS,PMC2,1995884820389
TABLE,Group 1 Metric,CPI,6
Metric,HWThread 33,
Runtime (RDTSC) [s],574.9090,
Runtime unhalted [s],519.3836,
Clock [MHz],-,
CPI,0.6724,
CPI (based on uops),0.6753,
IPC,1.4872,
