STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595111465 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 102
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,1886342532817
CPU_CLOCKS_UNHALTED,PMC1,1397381369504
DATA_CACHE_ACCESSES,PMC2,946560478240
DATA_CACHE_REFILLS_ALL,PMC3,7296320555
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 102,
Runtime (RDTSC) [s],592.3872,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.7408,
data cache requests,946560478240,
data cache request rate,0.5018,
data cache misses,7296320555,
data cache miss rate,0.0039,
data cache miss ratio,0.0077,
