STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595145999 GHz,
TABLE,Group 1 Raw,CPI,5
Event,Counter,HWThread 49
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2945859135835
CPU_CLOCKS_UNHALTED,PMC1,1395426716895
RETIRED_UOPS,PMC2,2959003620179
TABLE,Group 1 Metric,CPI,6
Metric,HWThread 49,
Runtime (RDTSC) [s],574.2698,
Runtime unhalted [s],537.7064,
Clock [MHz],-,
CPI,0.4737,
CPI (based on uops),0.4716,
IPC,2.1111,
