STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595145359 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 121
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2437829407518
CPU_CLOCKS_UNHALTED,PMC1,1363700410682
DATA_CACHE_ACCESSES,PMC2,1238739352729
DATA_CACHE_REFILLS_ALL,PMC3,4643857287
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 121,
Runtime (RDTSC) [s],570.1765,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5594,
data cache requests,1238739352729,
data cache request rate,0.5081,
data cache misses,4643857287,
data cache miss rate,0.0019,
data cache miss ratio,0.0037,
