STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595142349 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 87
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2532553908330
CPU_CLOCKS_UNHALTED,PMC1,1415604658589
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,20218526545
TABLE,Group 1 Metric,L2,8
Metric,HWThread 87,
Runtime (RDTSC) [s],594.0518,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5590,
L2D load bandwidth [MBytes/s],2178.2371,
L2D load data volume [GBytes],1293.9857,
L2 bandwidth [MBytes/s],2178.2371,
L2 data volume [GBytes],1293.9857,
