STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595127196 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 22
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2015939354466
CPU_CLOCKS_UNHALTED,PMC1,1359719136504
DATA_CACHE_ACCESSES,PMC2,1004804469016
DATA_CACHE_REFILLS_ALL,PMC3,5599050003
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 22,
Runtime (RDTSC) [s],575.3249,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.6745,
data cache requests,1004804469016,
data cache request rate,0.4984,
data cache misses,5599050003,
data cache miss rate,0.0028,
data cache miss ratio,0.0056,
