STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595111348 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 70
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2857109217321
CPU_CLOCKS_UNHALTED,PMC1,1353648325631
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,16501825540
TABLE,Group 1 Metric,L2,8
Metric,HWThread 70,
Runtime (RDTSC) [s],559.7402,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4738,
L2D load bandwidth [MBytes/s],1886.7983,
L2D load data volume [GBytes],1056.1168,
L2 bandwidth [MBytes/s],1886.7983,
L2 data volume [GBytes],1056.1168,
