STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595134674 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 86
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,5759167309
CPU_CLOCKS_UNHALTED,PMC1,3036733150
DATA_CACHE_ACCESSES,PMC2,2766339684
DATA_CACHE_REFILLS_ALL,PMC3,12926414
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 86,
Runtime (RDTSC) [s],21.9416,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5273,
data cache requests,2766339684,
data cache request rate,0.4803,
data cache misses,12926414,
data cache miss rate,0.0022,
data cache miss ratio,0.0047,
