STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595097209 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 13
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,7075255503
CPU_CLOCKS_UNHALTED,PMC1,2923198266
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,63702553
TABLE,Group 1 Metric,L2,8
Metric,HWThread 13,
Runtime (RDTSC) [s],20.6126,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4132,
L2D load bandwidth [MBytes/s],197.7901,
L2D load data volume [GBytes],4.0770,
L2 bandwidth [MBytes/s],197.7901,
L2 data volume [GBytes],4.0770,
