JobID        JobIDRaw        JobName  Partition  MaxVMSize  MaxVMSizeNode  MaxVMSizeTask  AveVMSize     MaxRSS MaxRSSNode MaxRSSTask     AveRSS MaxPages MaxPagesNode   MaxPagesTask   AvePages     MinCPU MinCPUNode MinCPUTask     AveCPU   NTasks  AllocCPUS    Elapsed      State ExitCode AveCPUFreq ReqCPUFreqMin ReqCPUFreqMax ReqCPUFreqGov     ReqMem ConsumedEnergy  MaxDiskRead MaxDiskReadNode MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteNode MaxDiskWriteTask   AveDiskWrite    ReqTRES  AllocTRES TRESUsageInAve TRESUsageInMax TRESUsageInMaxNode TRESUsageInMaxTask TRESUsageInMin TRESUsageInMinNode TRESUsageInMinTask TRESUsageInTot TRESUsageOutMax TRESUsageOutMaxNode TRESUsageOutMaxTask TRESUsageOutAve TRESUsageOutTot 
------------ ------------ ---------- ---------- ---------- -------------- -------------- ---------- ---------- ---------- ---------- ---------- -------- ------------ -------------- ---------- ---------- ---------- ---------- ---------- -------- ---------- ---------- ---------- -------- ---------- ------------- ------------- ------------- ---------- -------------- ------------ --------------- --------------- -------------- ------------ ---------------- ---------------- -------------- ---------- ---------- -------------- -------------- ------------------ ------------------ -------------- ------------------ ------------------ -------------- --------------- ------------------- ------------------- --------------- --------------- 
6096675      6096675      experimen+   standard                                                                                                                                                                                                             256   00:00:37  COMPLETED      0:0                  Unknown       Unknown       Unknown       222G          9.29K                                                                                                                           billing=1+ billing=2+                                                                                                                                                                                                                                 
6096675.bat+ 6096675.bat+      batch               435484K      nid004759              0    435484K     21192K  nid004759          0     21192K        0    nid004759              0          0   00:00:00  nid004759          0   00:00:00        1        256   00:00:37  COMPLETED      0:0         2G             0             0             0                     9.02K       61.50M       nid004759               0         61.50M       57.10M        nid004759                0         57.10M            cpu=256,g+ cpu=00:00:00,+ cpu=00:00:00,+ cpu=nid004759,ene+ cpu=0,fs/disk=0,f+ cpu=00:00:00,+ cpu=nid004759,ene+ cpu=0,fs/disk=0,f+ cpu=00:00:00,+ energy=299,fs/+ energy=nid004759,f+ fs/disk=0,fs/lustr+ energy=119,fs/+ energy=119,fs/+ 
6096675.ext+ 6096675.ext+     extern                 7508K      nid004759              0      7508K       672K  nid004759          0       672K        0    nid004759              0          0   00:00:00  nid004759          0   00:00:00        1        256   00:00:37  COMPLETED      0:0      2.25G             0             0             0                     9.29K        0.00M       nid004759               0          0.00M        0.00M        nid004759                0          0.00M            billing=2+ cpu=00:00:00,+ cpu=00:00:00,+ cpu=nid004759,ene+ cpu=0,fs/disk=0,f+ cpu=00:00:00,+ cpu=nid004759,ene+ cpu=0,fs/disk=0,f+ cpu=00:00:00,+ energy=299,fs/+ energy=nid004759,f+ fs/disk=0,fs/lustr+ energy=118,fs/+ energy=118,fs/+ 
6096675.0    6096675.0    perfwrapp+               284192K      nid004759             18    284192K     27548K  nid004759          0    2837344      115    nid004759              0          1   00:00:00  nid004759         18   00:00:00      128        256   00:00:08  COMPLETED      0:0       256G       Unknown            2G       Unknown                     1.14K        2.97M       nid004759               0          2.94M        0.01M        nid004759                0          0.00M            cpu=256,m+ cpu=00:00:00,+ cpu=00:00:01,+ cpu=nid004759,ene+ cpu=1,fs/disk=0,f+ cpu=00:00:00,+ cpu=nid004759,ene+ cpu=18,fs/disk=18+ cpu=00:00:06,+ energy=398,fs/+ energy=nid004759,f+ fs/disk=0,fs/lustr+ energy=1,fs/di+ energy=216,fs/+ 
6096675.1    6096675.1    perfwrapp+               284192K      nid004759              0    284192K      4908K  nid004759        126    2666816        2    nid004759             48          0   00:00:00  nid004759          0   00:00:00      128        256   00:00:09  COMPLETED      0:0       256G       Unknown            2G       Unknown                     1.03K        2.97M       nid004759             101          2.48M        0.00M        nid004759              100          0.00M            cpu=256,m+ cpu=00:00:00,+ cpu=00:00:00,+ cpu=nid004759,ene+ cpu=32,fs/disk=10+ cpu=00:00:00,+ cpu=nid004759,ene+ cpu=0,fs/disk=0,f+ cpu=00:00:03,+ energy=395,fs/+ energy=nid004759,f+ fs/disk=100,fs/lus+ energy=1,fs/di+ energy=216,fs/+ 
6096675.2    6096675.2    perfwrapp+               284192K      nid004759             21    284192K      2568K  nid004759         87    2625344        2    nid004759             27          0   00:00:00  nid004759         21   00:00:00      128        256   00:00:06     FAILED      1:0       256G       Unknown            2G       Unknown                       620        0.08M       nid004759             100          0.05M        0.00M        nid004759                0          0.00M            cpu=256,m+ cpu=00:00:00,+ cpu=00:00:00,+ cpu=nid004759,ene+ cpu=70,fs/disk=10+ cpu=00:00:00,+ cpu=nid004759,ene+ cpu=21,fs/disk=21+ cpu=00:00:02,+ energy=255,fs/+ energy=nid004759,f+ fs/disk=0,fs/lustr+ energy=1,fs/di+ energy=216,fs/+ 
6096675.3    6096675.3    perfwrapp+               284192K      nid004759             12    284192K     27700K  nid004759          0    5310272      158    nid004759              6          2   00:00:00  nid004759         12   00:00:00      128        256   00:00:06  COMPLETED      0:0       256G       Unknown            2G       Unknown                     1.05K        2.97M       nid004759               0          2.76M        0.01M        nid004759                0          0.00M            cpu=256,m+ cpu=00:00:00,+ cpu=00:00:01,+ cpu=nid004759,ene+ cpu=6,fs/disk=0,f+ cpu=00:00:00,+ cpu=nid004759,ene+ cpu=12,fs/disk=12+ cpu=00:00:06,+ energy=380,fs/+ energy=nid004759,f+ fs/disk=0,fs/lustr+ energy=1,fs/di+ energy=209,fs/+ 
6096675.4    6096675.4    cube-benc+               284192K      nid004759             15    284192K      5036K  nid004759         49    4169856      128    nid004759             21         55   00:00:00  nid004759         15   00:00:00      128        256   00:00:03  COMPLETED      0:0       256G       Unknown            2G       Unknown                       533        2.88M       nid004759               0          1.64M        0.01M        nid004759                0          0.00M            cpu=256,m+ cpu=00:00:00,+ cpu=00:00:01,+ cpu=nid004759,ene+ cpu=17,fs/disk=0,+ cpu=00:00:00,+ cpu=nid004759,ene+ cpu=15,fs/disk=15+ cpu=00:01:20,+ energy=432,fs/+ energy=nid004759,f+ fs/disk=0,fs/lustr+ energy=1,fs/di+ energy=215,fs/+ 
