STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595101187 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 96
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,4886656189
CPU_CLOCKS_UNHALTED,PMC1,2289483885
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,89561141
TABLE,Group 1 Metric,L2,8
Metric,HWThread 96,
Runtime (RDTSC) [s],23.5097,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4685,
L2D load bandwidth [MBytes/s],243.8103,
L2D load data volume [GBytes],5.7319,
L2 bandwidth [MBytes/s],243.8103,
L2 data volume [GBytes],5.7319,
