STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595080684 GHz,
TABLE,Group 1 Raw,CPI,5
Event,Counter,HWThread 22
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,7801978210
CPU_CLOCKS_UNHALTED,PMC1,3087374827
RETIRED_UOPS,PMC2,7817023838
TABLE,Group 1 Metric,CPI,6
Metric,HWThread 22,
Runtime (RDTSC) [s],20.9770,
Runtime unhalted [s],1.1897,
Clock [MHz],-,
CPI,0.3957,
CPI (based on uops),0.3950,
IPC,2.5271,
