STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595127294 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 99
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,1439740954369
CPU_CLOCKS_UNHALTED,PMC1,879038862822
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,19858606977
TABLE,Group 1 Metric,L2,8
Metric,HWThread 99,
Runtime (RDTSC) [s],367.6471,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.6106,
L2D load bandwidth [MBytes/s],3456.9863,
L2D load data volume [GBytes],1270.9508,
L2 bandwidth [MBytes/s],3456.9863,
L2 data volume [GBytes],1270.9508,
