STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595111153 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 109
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2276182396309
CPU_CLOCKS_UNHALTED,PMC1,1239270033662
DATA_CACHE_ACCESSES,PMC2,1147738093786
DATA_CACHE_REFILLS_ALL,PMC3,5170730704
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 109,
Runtime (RDTSC) [s],588.6946,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5445,
data cache requests,1147738093786,
data cache request rate,0.5042,
data cache misses,5170730704,
data cache miss rate,0.0023,
data cache miss ratio,0.0045,
