STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595123527 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 92
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2394730521989
CPU_CLOCKS_UNHALTED,PMC1,1252846947114
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,18235298902
TABLE,Group 1 Metric,L2,8
Metric,HWThread 92,
Runtime (RDTSC) [s],592.3843,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5232,
L2D load bandwidth [MBytes/s],1970.1049,
L2D load data volume [GBytes],1167.0591,
L2 bandwidth [MBytes/s],1970.1049,
L2 data volume [GBytes],1167.0591,
