STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595139334 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 65
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,3445676797739
CPU_CLOCKS_UNHALTED,PMC1,1647040700374
DATA_CACHE_ACCESSES,PMC2,1735263368542
DATA_CACHE_REFILLS_ALL,PMC3,6200335250
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 65,
Runtime (RDTSC) [s],662.4896,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4780,
data cache requests,1735263368542,
data cache request rate,0.5036,
data cache misses,6200335250,
data cache miss rate,0.0018,
data cache miss ratio,0.0036,
