JobID        JobIDRaw        JobName  Partition  MaxVMSize  MaxVMSizeNode  MaxVMSizeTask  AveVMSize     MaxRSS MaxRSSNode MaxRSSTask     AveRSS MaxPages MaxPagesNode   MaxPagesTask   AvePages     MinCPU MinCPUNode MinCPUTask     AveCPU   NTasks  AllocCPUS    Elapsed      State ExitCode AveCPUFreq ReqCPUFreqMin ReqCPUFreqMax ReqCPUFreqGov     ReqMem ConsumedEnergy  MaxDiskRead MaxDiskReadNode MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteNode MaxDiskWriteTask   AveDiskWrite    ReqTRES  AllocTRES TRESUsageInAve TRESUsageInMax TRESUsageInMaxNode TRESUsageInMaxTask TRESUsageInMin TRESUsageInMinNode TRESUsageInMinTask TRESUsageInTot TRESUsageOutMax TRESUsageOutMaxNode TRESUsageOutMaxTask TRESUsageOutAve TRESUsageOutTot 
------------ ------------ ---------- ---------- ---------- -------------- -------------- ---------- ---------- ---------- ---------- ---------- -------- ------------ -------------- ---------- ---------- ---------- ---------- ---------- -------- ---------- ---------- ---------- -------- ---------- ------------- ------------- ------------- ---------- -------------- ------------ --------------- --------------- -------------- ------------ ---------------- ---------------- -------------- ---------- ---------- -------------- -------------- ------------------ ------------------ -------------- ------------------ ------------------ -------------- --------------- ------------------- ------------------- --------------- --------------- 
6150692      6150692      experimen+   standard                                                                                                                                                                                                             256   00:00:33  COMPLETED      0:0                  Unknown       Unknown       Unknown       222G          7.65K                                                                                                                           billing=6+ billing=2+                                                                                                                                                                                                                                 
6150692.bat+ 6150692.bat+      batch               158360K      nid005680              0    158360K      1812K  nid005680          0      1812K        0    nid005680              0          0   00:00:00  nid005680          0   00:00:00        1        256   00:00:33  COMPLETED      0:0      2.25G             0             0             0                     6.82K            0       nid005680               0              0        0.00M        nid005680                0          0.00M            cpu=256,g+ cpu=00:00:00,+ cpu=00:00:00,+ cpu=nid005680,ene+ cpu=0,fs/disk=0,f+ cpu=00:00:00,+ cpu=nid005680,ene+ cpu=0,fs/disk=0,f+ cpu=00:00:00,+ energy=227,fs/+ energy=nid005680,f+ fs/disk=0,fs/lustr+ energy=75,fs/d+ energy=75,fs/d+ 
6150692.ext+ 6150692.ext+     extern                 7508K      nid005680              0      7508K       696K  nid005680          0       696K        0    nid005680              0          0   00:00:00  nid005680          0   00:00:00        1        256   00:00:33  COMPLETED      0:0      2.25G             0             0             0                     7.65K        0.00M       nid005680               0          0.00M        0.00M        nid005680                0          0.00M            billing=2+ cpu=00:00:00,+ cpu=00:00:00,+ cpu=nid005680,ene+ cpu=0,fs/disk=0,f+ cpu=00:00:00,+ cpu=nid005680,ene+ cpu=0,fs/disk=0,f+ cpu=00:00:00,+ energy=224,fs/+ energy=nid005680,f+ fs/disk=0,fs/lustr+ energy=110,fs/+ energy=110,fs/+ 
6150692.0    6150692.0    perfwrapp+               284172K      nid005680             51    284172K      5008K  nid005680         51    4465472        3    nid005680             30          0   00:00:00  nid005680         51   00:00:00       64        256   00:00:07  COMPLETED      0:0       128G       Unknown            2G       Unknown                       773        2.97M       nid005680               0          2.92M        0.01M        nid005680                0          0.00M            cpu=256,m+ cpu=00:00:00,+ cpu=00:00:00,+ cpu=nid005680,ene+ cpu=0,fs/disk=0,f+ cpu=00:00:00,+ cpu=nid005680,ene+ cpu=51,fs/disk=51+ cpu=00:00:00,+ energy=243,fs/+ energy=nid005680,f+ fs/disk=0,fs/lustr+ energy=3,fs/di+ energy=214,fs/+ 
6150692.1    6150692.1    perfwrapp+               284172K      nid005680             60    284172K      3664K  nid005680          5    2647936      141    nid005680              1          5   00:00:00  nid005680         60   00:00:00       64        256   00:00:05  COMPLETED      0:0       128G       Unknown            2G       Unknown                       633        2.97M       nid005680               0          2.78M        0.01M        nid005680                0          0.00M            cpu=256,m+ cpu=00:00:00,+ cpu=00:00:00,+ cpu=nid005680,ene+ cpu=1,fs/disk=0,f+ cpu=00:00:00,+ cpu=nid005680,ene+ cpu=60,fs/disk=60+ cpu=00:00:02,+ energy=309,fs/+ energy=nid005680,f+ fs/disk=0,fs/lustr+ energy=3,fs/di+ energy=241,fs/+ 
6150692.2    6150692.2    perfwrapp+               284172K      nid005680              5    284172K      5028K  nid005680          5    5101248        3    nid005680             38          0   00:00:00  nid005680          5   00:00:00       64        256   00:00:03     FAILED      1:0       128G       Unknown            2G       Unknown                       234        0.08M       nid005680              10          0.07M        0.00M        nid005680                0          0.00M            cpu=256,m+ cpu=00:00:00,+ cpu=00:00:00,+ cpu=nid005680,ene+ cpu=21,fs/disk=10+ cpu=00:00:00,+ cpu=nid005680,ene+ cpu=5,fs/disk=5,f+ cpu=00:00:00,+ energy=235,fs/+ energy=nid005680,f+ fs/disk=0,fs/lustr+ energy=3,fs/di+ energy=211,fs/+ 
6150692.3    6150692.3    perfwrapp+               284172K      nid005680             60    284172K      3672K  nid005680          2    2635008      124    nid005680              2          3   00:00:00  nid005680         60   00:00:00       64        256   00:00:06  COMPLETED      0:0       128G       Unknown            2G       Unknown                       610        2.97M       nid005680               0          2.83M        0.01M        nid005680                0          0.00M            cpu=256,m+ cpu=00:00:00,+ cpu=00:00:00,+ cpu=nid005680,ene+ cpu=2,fs/disk=0,f+ cpu=00:00:00,+ cpu=nid005680,ene+ cpu=60,fs/disk=60+ cpu=00:00:02,+ energy=294,fs/+ energy=nid005680,f+ fs/disk=0,fs/lustr+ energy=3,fs/di+ energy=222,fs/+ 
6150692.4    6150692.4    perfwrapp+               284172K      nid005680             63    284172K     28004K  nid005680          1    5292416      147    nid005680              0          5   00:00:00  nid005680         63   00:00:00       64        256   00:00:06  COMPLETED      0:0       128G       Unknown            2G       Unknown                        23        2.97M       nid005680              10          2.83M        0.00M        nid005680               10          0.00M            cpu=256,m+ cpu=00:00:00,+ cpu=00:00:00,+ cpu=nid005680,ene+ cpu=0,fs/disk=10,+ cpu=00:00:00,+ cpu=nid005680,ene+ cpu=63,fs/disk=63+ cpu=00:00:04,+ energy=307,fs/+ energy=nid005680,f+ fs/disk=10,fs/lust+ energy=4,fs/di+ energy=300,fs/+ 
