JobID        JobIDRaw        JobName  Partition  MaxVMSize  MaxVMSizeNode  MaxVMSizeTask  AveVMSize     MaxRSS MaxRSSNode MaxRSSTask     AveRSS MaxPages MaxPagesNode   MaxPagesTask   AvePages     MinCPU MinCPUNode MinCPUTask     AveCPU   NTasks  AllocCPUS    Elapsed      State ExitCode AveCPUFreq ReqCPUFreqMin ReqCPUFreqMax ReqCPUFreqGov     ReqMem ConsumedEnergy  MaxDiskRead MaxDiskReadNode MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteNode MaxDiskWriteTask   AveDiskWrite    ReqTRES  AllocTRES TRESUsageInAve TRESUsageInMax TRESUsageInMaxNode TRESUsageInMaxTask TRESUsageInMin TRESUsageInMinNode TRESUsageInMinTask TRESUsageInTot TRESUsageOutMax TRESUsageOutMaxNode TRESUsageOutMaxTask TRESUsageOutAve TRESUsageOutTot 
------------ ------------ ---------- ---------- ---------- -------------- -------------- ---------- ---------- ---------- ---------- ---------- -------- ------------ -------------- ---------- ---------- ---------- ---------- ---------- -------- ---------- ---------- ---------- -------- ---------- ------------- ------------- ------------- ---------- -------------- ------------ --------------- --------------- -------------- ------------ ---------------- ---------------- -------------- ---------- ---------- -------------- -------------- ------------------ ------------------ -------------- ------------------ ------------------ -------------- --------------- ------------------- ------------------- --------------- --------------- 
6150330      6150330      experimen+   standard                                                                                                                                                                                                             256   00:08:58  COMPLETED      0:0                  Unknown       Unknown       Unknown       222G        166.97K                                                                                                                           billing=6+ billing=2+                                                                                                                                                                                                                                 
6150330.bat+ 6150330.bat+      batch               428428K      nid001604              0    428428K     20252K  nid001604          0     20252K        7    nid001604              0          7   00:00:00  nid001604          0   00:00:00        1        256   00:08:58  COMPLETED      0:0         2G             0             0             0                   166.69K       61.27M       nid001604               0         61.27M       57.05M        nid001604                0         57.05M            cpu=256,g+ cpu=00:00:00,+ cpu=00:00:00,+ cpu=nid001604,ene+ cpu=0,fs/disk=0,f+ cpu=00:00:00,+ cpu=nid001604,ene+ cpu=0,fs/disk=0,f+ cpu=00:00:00,+ energy=316,fs/+ energy=nid001604,f+ fs/disk=0,fs/lustr+ energy=273,fs/+ energy=273,fs/+ 
6150330.ext+ 6150330.ext+     extern                 7508K      nid001604              0      7508K       652K  nid001604          0       652K        0    nid001604              0          0   00:00:00  nid001604          0   00:00:00        1        256   00:08:58  COMPLETED      0:0      2.25G             0             0             0                   166.97K        0.00M       nid001604               0          0.00M        0.00M        nid001604                0          0.00M            billing=2+ cpu=00:00:00,+ cpu=00:00:00,+ cpu=nid001604,ene+ cpu=0,fs/disk=0,f+ cpu=00:00:00,+ cpu=nid001604,ene+ cpu=0,fs/disk=0,f+ cpu=00:00:00,+ energy=315,fs/+ energy=nid001604,f+ fs/disk=0,fs/lustr+ energy=273,fs/+ energy=273,fs/+ 
6150330.0    6150330.0    cube-benc+              1462396K      nid001604             21 986916.50K    116456K  nid001604         41   84310592      247    nid001604             55        211   00:08:29  nid001604          3   00:08:51       64        256   00:08:54  COMPLETED      0:0    391.39M       Unknown            2G       Unknown                   165.72K        2.88M       nid001604               0          2.88M        0.01M        nid001604                0          0.00M            cpu=256,m+ cpu=00:08:51,+ cpu=00:08:52,+ cpu=nid001604,ene+ cpu=62,fs/disk=0,+ cpu=00:08:29,+ cpu=nid001604,ene+ cpu=3,fs/disk=3,f+ cpu=09:27:10,+ energy=316,fs/+ energy=nid001604,f+ fs/disk=0,fs/lustr+ energy=3,fs/di+ energy=249,fs/+ 
