STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595147696 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 48
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2722718473183
CPU_CLOCKS_UNHALTED,PMC1,1398751442447
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,23853265338
TABLE,Group 1 Metric,L2,8
Metric,HWThread 48,
Runtime (RDTSC) [s],562.1655,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5137,
L2D load bandwidth [MBytes/s],2715.5862,
L2D load data volume [GBytes],1526.6090,
L2 bandwidth [MBytes/s],2715.5862,
L2 data volume [GBytes],1526.6090,
