STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595149489 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 52
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2512665956497
CPU_CLOCKS_UNHALTED,PMC1,1393707921454
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,26007310972
TABLE,Group 1 Metric,L2,8
Metric,HWThread 52,
Runtime (RDTSC) [s],561.5681,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5547,
L2D load bandwidth [MBytes/s],2963.9643,
L2D load data volume [GBytes],1664.4679,
L2 bandwidth [MBytes/s],2963.9643,
L2 data volume [GBytes],1664.4679,
