STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595120937 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 4
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2504877244169
CPU_CLOCKS_UNHALTED,PMC1,1389274671410
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,25806223702
TABLE,Group 1 Metric,L2,8
Metric,HWThread 4,
Runtime (RDTSC) [s],561.5419,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5546,
L2D load bandwidth [MBytes/s],2941.1845,
L2D load data volume [GBytes],1651.5983,
L2 bandwidth [MBytes/s],2941.1845,
L2 data volume [GBytes],1651.5983,
