STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.594914264 GHz,
TABLE,Group 1 Raw,CPI,5
Event,Counter,HWThread 117
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2442277859020
CPU_CLOCKS_UNHALTED,PMC1,1388524822579
RETIRED_UOPS,PMC2,2432283564256
TABLE,Group 1 Metric,CPI,6
Metric,HWThread 117,
Runtime (RDTSC) [s],561.6866,
Runtime unhalted [s],535.0947,
Clock [MHz],-,
CPI,0.5685,
CPI (based on uops),0.5709,
IPC,1.7589,
