STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595121561 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 25
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,4973180945
CPU_CLOCKS_UNHALTED,PMC1,2465910116
DATA_CACHE_ACCESSES,PMC2,2366042987
DATA_CACHE_REFILLS_ALL,PMC3,9776385
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 25,
Runtime (RDTSC) [s],20.0267,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4958,
data cache requests,2366042987,
data cache request rate,0.4758,
data cache misses,9776385,
data cache miss rate,0.0020,
data cache miss ratio,0.0041,
