STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595132262 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 9
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,6105397887
CPU_CLOCKS_UNHALTED,PMC1,2610664325
DATA_CACHE_ACCESSES,PMC2,2977539358
DATA_CACHE_REFILLS_ALL,PMC3,8121200
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 9,
Runtime (RDTSC) [s],19.9534,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4276,
data cache requests,2977539358,
data cache request rate,0.4877,
data cache misses,8121200,
data cache miss rate,0.0013,
data cache miss ratio,0.0027,
