STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.59510817 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 104
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,4647141783
CPU_CLOCKS_UNHALTED,PMC1,2435681535
DATA_CACHE_ACCESSES,PMC2,2187392533
DATA_CACHE_REFILLS_ALL,PMC3,10046408
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 104,
Runtime (RDTSC) [s],19.8986,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5241,
data cache requests,2187392533,
data cache request rate,0.4707,
data cache misses,10046408,
data cache miss rate,0.0022,
data cache miss ratio,0.0046,
