STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595140237 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 53
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,6060162087
CPU_CLOCKS_UNHALTED,PMC1,2642106215
DATA_CACHE_ACCESSES,PMC2,2936596624
DATA_CACHE_REFILLS_ALL,PMC3,9189141
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 53,
Runtime (RDTSC) [s],20.7630,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4360,
data cache requests,2936596624,
data cache request rate,0.4846,
data cache misses,9189141,
data cache miss rate,0.0015,
data cache miss ratio,0.0031,
