Cnode ID, Thread ID,CYCLES_NOT_IN_HALT,RETIRED_INSTRUCTIONS,perf::PERF_COUNT_HW_CACHE_L1D:MISS,perf::PERF_COUNT_HW_CACHE_L1D:ACCESS,execution,mpi,comp,regionName,iteration
0,0,779028128321,2161263173951,9954814594,940482965193,331.713,128.975,202.737,iterate,0
0,1,773373139867,1799607207833,12218915878,807707550870,331.728,75.3642,256.364,iterate,0
0,2,774812848161,1814565063614,12199322512,813795934379,331.728,76.9669,254.761,iterate,0
0,3,774986394474,1926817218723,12406922026,858406865397,331.728,89.4224,242.305,iterate,0
0,4,774818109930,1884509875204,12284487208,840042846998,331.729,85.2315,246.497,iterate,0
0,5,774270623619,1845328401289,12102010070,823916415763,331.728,86.1153,245.613,iterate,0
0,6,778828872098,1946346297528,11346110605,864153374878,331.728,96.4281,235.3,iterate,0
0,7,773368237678,1933024435214,12157239914,856519228914,331.728,90.7219,241.006,iterate,0
0,8,773978203546,1935446766030,11672570808,853288917564,331.725,96.9003,234.825,iterate,0
0,9,777414308371,1819348401946,11568189249,809123459863,331.723,83.559,248.164,iterate,0
0,10,778498100397,1888884458251,11725363440,836791403039,331.706,89.647,242.059,iterate,0
0,11,783851153331,2045293264165,9692061294,885448578564,331.703,117.503,214.2,iterate,0
0,12,780237000284,2115586841813,10823951853,926945372479,331.714,119.93,211.783,iterate,0
0,13,771357025256,1701411373873,13108952287,773413403403,331.729,59.5172,272.212,iterate,0
0,14,772788316444,1698409558173,13239432001,773940581863,331.73,58.9669,272.763,iterate,0
0,15,769295847291,1783082764342,13274491225,808383602176,331.729,69.4265,262.303,iterate,0
0,16,772132012087,1828006725744,13267601633,824195515485,331.729,76.6097,255.119,iterate,0
0,17,772092634051,1778545826012,13196510599,806147887037,331.73,70.5712,261.159,iterate,0
0,18,777148164648,1872544399159,12376123395,841434169939,331.73,84.0105,247.72,iterate,0
0,19,773435988656,1919907431838,13248386105,857791703508,331.73,85.0395,246.69,iterate,0
0,20,773323321444,1878072546237,12650094256,837275445765,331.729,87.0942,244.635,iterate,0
0,21,773606241025,1679039182905,12692652121,759829547464,331.726,64.304,267.422,iterate,0
0,22,774271310374,1768445209847,12608510049,793652548103,331.708,72.3326,259.376,iterate,0
0,23,779012331573,1997949481617,10474147132,866911013696,331.705,109.532,222.173,iterate,0
0,24,780180383096,2083040730238,10809945930,912960246867,331.713,116.031,215.682,iterate,0
0,25,768344678623,1672832918136,13100874737,761917660771,331.73,56.8253,274.905,iterate,0
0,26,773090445074,1859780597715,13230617999,838358188399,331.73,76.7862,254.944,iterate,0
0,27,773735309912,1879900876272,13345871035,846625367329,331.73,79.2548,252.475,iterate,0
0,28,770218084190,1786022079808,13362699896,807294990649,331.73,70.7578,260.972,iterate,0
0,29,771621018651,1691648173549,13238883823,769387047557,331.73,60.6171,271.113,iterate,0
0,30,777597076786,1812844846764,12278217792,817721860391,331.728,77.3762,254.352,iterate,0
0,31,773911205354,1812939244250,13521016012,814903301785,331.729,74.7133,257.016,iterate,0
0,32,774036749292,1845122323932,12671325827,823719673887,331.728,83.3782,248.35,iterate,0
0,33,772391485535,1682915508554,12604056786,761306546060,331.727,64.9708,266.756,iterate,0
0,34,775294596740,1799924169561,12688715972,805213749582,331.71,75.4563,256.253,iterate,0
0,35,781394922332,2008229725831,10467509893,870719531789,331.707,110.222,221.485,iterate,0
0,36,782363028632,2167676111617,10137994184,942036052925,331.712,127.757,203.955,iterate,0
0,37,773228527217,1772719313398,12373848922,794892443228,331.729,70.3789,261.35,iterate,0
0,38,774050225683,1810096331968,12515080067,811737967458,331.728,74.6407,257.087,iterate,0
0,39,771518571972,1929828572195,12680072113,859883405124,331.728,89.0582,242.67,iterate,0
0,40,772788070832,1847609788697,12648328168,825041401461,331.729,79.6072,252.122,iterate,0
0,41,773926126343,1862910818951,13246644440,830456667983,331.728,82.1605,249.567,iterate,0
0,42,779428430423,1997438027534,11541705365,885269889014,331.726,101.152,230.573,iterate,0
0,43,775118705118,1812171033039,18661915827,804937850995,331.726,75.0766,256.65,iterate,0
0,44,774628191743,1920363126003,12097089809,846929406420,331.725,94.0089,237.716,iterate,0
0,45,775248270839,1779191253687,11895094716,803547417579,331.723,82.1394,249.584,iterate,0
0,46,776630416558,1846724925976,11979958058,818587833383,331.707,82.9652,248.741,iterate,0
0,47,782085218250,2050221866339,9806300263,883362451246,331.703,117.498,214.206,iterate,0
0,48,780783603073,2004624539286,10977978126,883466606871,331.714,107.43,224.283,iterate,0
0,49,773057596467,1745171494384,13293350894,800485913833,331.73,67.8536,263.876,iterate,0
0,50,774592880609,1699884979033,13409563483,773997175768,331.73,58.6212,273.109,iterate,0
0,51,771412839448,1856935013859,13554066970,837967687873,331.73,80.0494,251.68,iterate,0
0,52,772019299207,1849846696802,13390175342,831967320321,331.73,77.269,254.461,iterate,0
0,53,772757027163,1766853069780,13177029449,798779667438,331.731,68.4238,263.307,iterate,0
0,54,778138925522,1890567364932,12362224526,848088791295,331.73,85.5966,246.133,iterate,0
0,55,772306048420,1913877731921,13235691622,855367846560,331.73,85.125,246.605,iterate,0
0,56,772936430626,1859888152843,12734690964,829916282164,331.73,85.4034,246.326,iterate,0
0,57,773322940590,1816726944589,12837117874,815250388488,331.727,78.4092,253.318,iterate,0
0,58,776164329410,1802028534382,12653047185,806261873437,331.71,75.7699,255.94,iterate,0
0,59,782186774313,1995979099054,10616212400,867016751036,331.709,108.407,223.302,iterate,0
0,60,777975750827,1924648296003,11841911803,854801993803,331.714,94.4267,237.287,iterate,0
0,61,767545304893,1617097250816,14310242090,744427075707,331.731,45.3231,286.408,iterate,0
0,62,770787915374,1706524314708,14515674011,782546903174,331.731,53.0568,278.674,iterate,0
0,63,769562889156,1686991257192,14610097707,774636339458,331.731,52.2581,279.473,iterate,0
0,64,767690904258,1689350476484,14461664672,774280198977,331.731,54.4316,277.299,iterate,0
0,65,767874376140,1595269282521,14286058897,735612775562,331.731,44.617,287.114,iterate,0
0,66,775451068792,1716956298358,13384529521,785255011548,331.731,62.3883,269.343,iterate,0
0,67,768722576285,1722566893558,14397023560,784739959745,331.731,59.1758,272.555,iterate,0
0,68,768217781580,1745717063826,13861309994,789843813340,331.729,68.4536,263.276,iterate,0
0,69,768026963967,1649253446280,13978399068,753453986175,331.728,55.8665,275.861,iterate,0
0,70,772785885532,1786275505881,13807280690,806343220406,331.71,69.3118,262.398,iterate,0
0,71,779285575147,1943217369049,11554921337,851904410920,331.709,100.394,231.315,iterate,0
0,72,777094305782,2031387180406,11950588023,896724894866,331.714,106.474,225.24,iterate,0
0,73,768313049764,1645204105171,14264336943,755924150973,331.731,48.4887,283.243,iterate,0
0,74,770270559392,1619936073563,14494001057,747191560237,331.731,44.181,287.55,iterate,0
0,75,770437289407,1826593996278,14631208998,831300099708,331.731,67.6467,264.084,iterate,0
0,76,770784456629,1699701978294,14426381969,778855216798,331.732,54.6967,277.035,iterate,0
0,77,768151819879,1596077481815,14245028354,735791459560,331.731,44.859,286.872,iterate,0
0,78,775337439393,1801588749497,13326663995,818607059295,331.73,70.7685,260.961,iterate,0
0,79,768808377668,1861585695745,14442809238,839991627921,331.73,74.4867,257.244,iterate,0
0,80,769703637872,1749316069799,13836138639,791149566081,331.729,68.7875,262.942,iterate,0
0,81,769913442065,1709485567729,14126140255,777853877441,331.729,62.3619,269.367,iterate,0
0,82,772766815718,1818945589385,13886584669,819430939721,331.709,73.505,258.204,iterate,0
0,83,780912648188,1960835432039,11516343510,856607669349,331.708,101.392,230.316,iterate,0
0,84,779476823581,2024763998649,11141746294,889252144084,331.711,109.418,222.293,iterate,0
0,85,770697985173,1776492343786,13565354849,802530105253,331.73,66.3665,265.363,iterate,0
0,86,770623740320,1695299272296,13725218128,771603194591,331.729,56.725,275.004,iterate,0
0,87,769903270255,1784868950647,13870751217,807296027998,331.73,67.1126,264.617,iterate,0
0,88,771607091071,1856533245376,13673752196,834202464570,331.73,77.4433,254.287,iterate,0
0,89,770474072541,1653866823254,13491300539,752967331246,331.729,55.224,276.505,iterate,0
0,90,776998368913,1827813739470,12692810257,824486498764,331.727,78.9267,252.801,iterate,0
0,91,772265793381,1859057151114,13636006128,832163509374,331.728,77.0223,254.705,iterate,0
0,92,771879973409,1830679092357,13062426533,817207331725,331.725,81.3637,250.361,iterate,0
0,93,772713583817,1659206421361,13180735207,750486456099,331.726,59.7544,271.972,iterate,0
0,94,775101796697,1843003255007,12902958927,822063541005,331.708,78.4825,253.225,iterate,0
0,95,781089462060,2013392465058,10857136659,872319676437,331.705,109.276,222.429,iterate,0
0,96,780711494864,2089484881385,10881338903,917241697616,331.713,116.822,214.891,iterate,0
0,97,770907607688,1691938837209,13321957429,770711440245,331.73,58.8811,272.849,iterate,0
