STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595031359 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 87
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,1561780196405
CPU_CLOCKS_UNHALTED,PMC1,1213814143256
DATA_CACHE_ACCESSES,PMC2,775733537558
DATA_CACHE_REFILLS_ALL,PMC3,4270466714
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 87,
Runtime (RDTSC) [s],514.6119,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.7772,
data cache requests,775733537558,
data cache request rate,0.4967,
data cache misses,4270466714,
data cache miss rate,0.0027,
data cache miss ratio,0.0055,
