STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595128139 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 25
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,1562496443634
CPU_CLOCKS_UNHALTED,PMC1,1220249103925
DATA_CACHE_ACCESSES,PMC2,775703290830
DATA_CACHE_REFILLS_ALL,PMC3,4453363318
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 25,
Runtime (RDTSC) [s],514.1719,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.7810,
data cache requests,775703290830,
data cache request rate,0.4965,
data cache misses,4453363318,
data cache miss rate,0.0029,
data cache miss ratio,0.0057,
