STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595118107 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 123
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2803725241022
CPU_CLOCKS_UNHALTED,PMC1,1376438324660
DATA_CACHE_ACCESSES,PMC2,1429055090073
DATA_CACHE_REFILLS_ALL,PMC3,4256212053
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 123,
Runtime (RDTSC) [s],567.8595,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4909,
data cache requests,1429055090073,
data cache request rate,0.5097,
data cache misses,4256212053,
data cache miss rate,0.0015,
data cache miss ratio,0.0030,
