STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595127489 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 122
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2746550213701
CPU_CLOCKS_UNHALTED,PMC1,1369573197548
DATA_CACHE_ACCESSES,PMC2,1397971791675
DATA_CACHE_REFILLS_ALL,PMC3,4306461128
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 122,
Runtime (RDTSC) [s],568.7021,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4987,
data cache requests,1397971791675,
data cache request rate,0.5090,
data cache misses,4306461128,
data cache miss rate,0.0016,
data cache miss ratio,0.0031,
