STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595071407 GHz,
TABLE,Group 1 Raw,CPI,5
Event,Counter,HWThread 3
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,3101522607518
CPU_CLOCKS_UNHALTED,PMC1,1383980193230
RETIRED_UOPS,PMC2,3118026616599
TABLE,Group 1 Metric,CPI,6
Metric,HWThread 3,
Runtime (RDTSC) [s],569.8693,
Runtime unhalted [s],533.3110,
Clock [MHz],-,
CPI,0.4462,
CPI (based on uops),0.4439,
IPC,2.2410,
