STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595124593 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 8
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2557200443856
CPU_CLOCKS_UNHALTED,PMC1,1363643880715
DATA_CACHE_ACCESSES,PMC2,1304324738796
DATA_CACHE_REFILLS_ALL,PMC3,4061821779
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 8,
Runtime (RDTSC) [s],567.7367,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5333,
data cache requests,1304324738796,
data cache request rate,0.5101,
data cache misses,4061821779,
data cache miss rate,0.0016,
data cache miss ratio,0.0031,
