STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595107338 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 116
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,4450157338
CPU_CLOCKS_UNHALTED,PMC1,2039407777
DATA_CACHE_ACCESSES,PMC2,2090359072
DATA_CACHE_REFILLS_ALL,PMC3,8977894
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 116,
Runtime (RDTSC) [s],11.5315,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4583,
data cache requests,2090359072,
data cache request rate,0.4697,
data cache misses,8977894,
data cache miss rate,0.0020,
data cache miss ratio,0.0043,
