STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595095876 GHz,
TABLE,Group 1 Raw,CPI,5
Event,Counter,HWThread 87
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,4490299770
CPU_CLOCKS_UNHALTED,PMC1,2075543959
RETIRED_UOPS,PMC2,4509513393
TABLE,Group 1 Metric,CPI,6
Metric,HWThread 87,
Runtime (RDTSC) [s],10.5438,
Runtime unhalted [s],0.7998,
Clock [MHz],-,
CPI,0.4622,
CPI (based on uops),0.4603,
IPC,2.1634,
