STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595109041 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 98
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,1331746693818
CPU_CLOCKS_UNHALTED,PMC1,882832792110
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,21785902198
TABLE,Group 1 Metric,L2,8
Metric,HWThread 98,
Runtime (RDTSC) [s],368.4494,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.6629,
L2D load bandwidth [MBytes/s],3784.2311,
L2D load data volume [GBytes],1394.2977,
L2 bandwidth [MBytes/s],3784.2311,
L2 data volume [GBytes],1394.2977,
