JOBID;STEPID;NODENAME;AVG_CPUFREQ_KHZ;AVG_IMCFREQ_KHZ;DEF_FREQ_KHZ;ITER_TIME_SEC;CPI;TPI;MEM_GBS;IO_MBS;PERC_MPI;DC_NODE_POWER_W;DRAM_POWER_W;PCK_POWER_W;CYCLES;INSTRUCTIONS;GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SPOPS_SINGLE;SPOPS_128;SPOPS_256;SPOPS_512;DPOPS_SINGLE;DPOPS_128;DPOPS_256;DPOPS_512;GPU0_POWER_W;GPU0_FREQ_KHZ;GPU0_MEM_FREQ_KHZ;GPU0_UTIL_PERC;GPU0_MEM_UTIL_PERC;GPU1_POWER_W;GPU1_FREQ_KHZ;GPU1_MEM_FREQ_KHZ;GPU1_UTIL_PERC;GPU1_MEM_UTIL_PERC;GPU2_POWER_W;GPU2_FREQ_KHZ;GPU2_MEM_FREQ_KHZ;GPU2_UTIL_PERC;GPU2_MEM_UTIL_PERC;GPU3_POWER_W;GPU3_FREQ_KHZ;GPU3_MEM_FREQ_KHZ;GPU3_UTIL_PERC;GPU3_MEM_UTIL_PERC;LOOPID;LOOP_NEST_LEVEL;LOOP_SIZE;TIMESTAMP;ELAPSED;DATE
5775992;0;tcn946;2379750;1800000;2400000;1.137886;0.477900;55.034089;213.077468;0.003389;26.040661;358.363024;0.000000;267.168634;5048566619128;10564064047271;894.283297;88390516850;61727292781;0;0;0;209159992121832;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1712163111;234;03-04-2024 18:51:51
5775992;0;tcn946;2392000;1800000;2400000;1.082585;0.479285;58.214003;225.775993;0.003559;26.031106;360.575234;0.000000;267.043566;4823899416711;10064777621947;895.489101;84660104701;59085204805;0;0;0;228874057049032;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1712163134;256;03-04-2024 18:52:14
5775992;0;tcn946;2382500;1800000;2400000;1.150587;0.472670;59.662802;234.747020;0.003357;26.934267;354.519910;0.000000;267.366500;5080125122540;10747729287381;895.472034;88018809872;61508489243;0;0;0;249359127257984;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1712163156;278;03-04-2024 18:52:36
5775992;0;tcn946;2377250;1800000;2400000;1.087485;0.477716;59.687908;232.921259;0.003539;25.999250;358.615159;0.000000;267.427335;4874708249252;10204191207528;896.259026;85203392772;59518885582;0;0;0;269233107526752;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1712163178;300;03-04-2024 18:52:58
5775992;0;tcn946;2384250;1800000;2400000;1.100287;0.469564;64.989959;254.451835;0.003501;27.124669;355.177186;0.000000;268.702622;4911633487064;10459998028059;895.798797;84406900094;58954254685;0;0;0;288899283080504;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1712163200;322;03-04-2024 18:53:20
5775992;0;tcn946;2390500;1800000;2400000;1.092987;0.476856;57.883570;223.619919;0.003537;26.750205;358.378625;0.000000;266.189354;4819674070284;10107194402326;896.412220;84241628187;58831314202;0;0;0;308526041773640;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1712163221;344;03-04-2024 18:53:41
5775992;0;tcn946;2378250;1800000;2400000;1.089588;0.475508;60.595637;238.205696;0.003536;26.269128;358.726532;0.000000;267.711940;4863821986966;10228680524712;896.827145;84946751496;59380241698;0;0;0;328302661953560;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1712163243;366;03-04-2024 18:54:03
5775992;0;tcn946;2395250;1800000;2400000;1.085341;0.477417;56.999786;220.346895;0.003555;26.072558;360.117893;0.000000;268.673417;4821506415156;10099154913158;897.241657;84190745649;58822823239;0;0;0;347915648281872;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1712163266;389;03-04-2024 18:54:26
5775992;0;tcn946;2381000;1800000;2400000;1.146793;0.469546;63.483559;244.602552;0.003357;26.645877;358.732041;0.000000;270.511723;5130598885502;10926731059410;896.771123;88155552778;61567771637;0;0;0;368437101635256;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1712163288;411;03-04-2024 18:54:48
5775992;0;tcn946;2380250;1800000;2400000;1.101238;0.478723;56.707549;215.831559;0.003508;27.003945;354.882593;0.000000;263.534693;4868401597170;10169560142381;897.332237;85252166398;59548950756;0;0;0;388313604535592;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1712163311;433;03-04-2024 18:55:11
5775992;0;tcn946;2381250;1800000;2400000;1.138443;0.476978;62.056595;239.496332;0.003388;26.086817;358.679653;0.000000;267.957080;5055428228136;10598875815424;897.702673;88309722245;61717733924;0;0;0;408902093241664;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1712163333;455;03-04-2024 18:55:33
5775992;0;tcn946;2384750;1800000;2400000;1.089837;0.477565;52.549049;203.748363;0.003540;26.309161;357.918678;0.000000;267.438453;4839572859956;10133846213174;898.004221;84609805862;59017320022;0;0;0;428599362559600;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1712163355;478;03-04-2024 18:55:55
5775992;0;tcn946;2379250;1800000;2400000;1.137589;0.476883;46.363427;179.469624;0.003387;25.910190;359.402696;0.000000;267.503884;5072551787011;10636892985354;898.254976;88651138703;61924553869;0;0;0;449241668987856;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1712163377;500;03-04-2024 18:56:17
5775992;0;tcn946;2386500;1800000;2400000;1.095238;0.475547;56.515498;222.466986;0.003529;26.887071;373.945383;0.000000;267.671056;4831876619110;10160669877252;898.351259;84007937240;58648458582;0;0;0;468828246011760;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1712163400;523;03-04-2024 18:56:40
