STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595141524 GHz,
TABLE,Group 1 Raw,CPI,5
Event,Counter,HWThread 33
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2219147014337
CPU_CLOCKS_UNHALTED,PMC1,1355210171577
RETIRED_UOPS,PMC2,2203198118435
TABLE,Group 1 Metric,CPI,6
Metric,HWThread 33,
Runtime (RDTSC) [s],563.4173,
Runtime unhalted [s],522.2105,
Clock [MHz],-,
CPI,0.6107,
CPI (based on uops),0.6151,
IPC,1.6375,
