STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595136724 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 23
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2575464663088
CPU_CLOCKS_UNHALTED,PMC1,1620574557886
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,37781689343
TABLE,Group 1 Metric,L2,8
Metric,HWThread 23,
Runtime (RDTSC) [s],664.6518,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.6292,
L2D load bandwidth [MBytes/s],3638.0373,
L2D load data volume [GBytes],2418.0281,
L2 bandwidth [MBytes/s],3638.0373,
L2 data volume [GBytes],2418.0281,
