STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595125045 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 125
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,1502945453944
CPU_CLOCKS_UNHALTED,PMC1,697090403135
DATA_CACHE_ACCESSES,PMC2,763052706875
DATA_CACHE_REFILLS_ALL,PMC3,2627260606
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 125,
Runtime (RDTSC) [s],298.4694,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4638,
data cache requests,763052706875,
data cache request rate,0.5077,
data cache misses,2627260606,
data cache miss rate,0.0017,
data cache miss ratio,0.0034,
