STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595127274 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 109
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,1142373769543
CPU_CLOCKS_UNHALTED,PMC1,618132040752
DATA_CACHE_ACCESSES,PMC2,570485316905
DATA_CACHE_REFILLS_ALL,PMC3,2839838705
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 109,
Runtime (RDTSC) [s],274.0485,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5411,
data cache requests,570485316905,
data cache request rate,0.4994,
data cache misses,2839838705,
data cache miss rate,0.0025,
data cache miss ratio,0.0050,
